what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399662432048
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399662434869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399662438195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1399662438379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662438984
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1399662441077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662442932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662491819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662505699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399662505716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662506581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662516997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662521307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662546119
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399662546132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399662551997
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1399662556262
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1399662558931
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399662559607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399662561163
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1399662561223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399662573595
