what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399665647224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399665661193
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1399665689447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665706281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665707105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665707110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665712521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665713482
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399665713487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665713487
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399665714151
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1399665751890
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1399665774127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399665791597
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1399665796033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1399665797780
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399665825961
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1399665831864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665833684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665834636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665834641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665838071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665839087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665839092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665845422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665846781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665846787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665850733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665851394
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1399665851399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1399665851400
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1399665852367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1399665875782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665922556
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1399665922586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399665923128
